Date,Barcode,OnPromotion,Quantity,ReturnedQuantity,Discount,Increase,TotalValue,UnitValue,CostValue,Holiday
2019-01-03,7894900014211,0,12.0,0.0,0.0,0.0,56.28,4.69,3.197,0
2019-01-04,7894900014211,0,24.0,0.0,0.247,0.0,112.56,4.69,3.197,0
2019-01-05,7894900014211,0,64.0,0.0,0.481,0.0,300.16,4.69,3.197,0
2019-01-06,7894900014211,0,25.0,0.0,0.283,0.0,117.25,4.69,3.197,0
2019-01-07,7894900014211,0,9.0,0.0,0.0,0.0,42.21,4.69,3.197,0
2019-01-08,7894900014211,0,9.0,0.0,0.0,0.0,42.21,4.69,3.197,0
2019-01-09,7894900014211,0,22.0,0.0,0.0,0.0,103.18,4.69,3.197,0
2019-01-10,7894900014211,0,21.0,0.0,0.471,0.0,98.49,4.69,3.197,0
2019-01-11,7894900014211,0,27.0,0.0,0.734,0.0,126.63,4.69,3.104,0
2019-01-12,7894900014211,0,62.0,0.0,0.349,0.0,290.78,4.69,3.104,0
2019-01-13,7894900014211,0,20.0,0.0,0.0,0.0,93.8,4.69,3.104,0
2019-01-14,7894900014211,0,6.0,0.0,0.0,0.0,28.14,4.69,3.104,0
2019-01-15,7894900014211,0,18.0,0.0,0.169,0.0,84.42,4.69,3.104,0
2019-01-16,7894900014211,0,17.0,0.0,0.452,0.0,79.73,4.69,3.104,0
2019-01-17,7894900014211,0,20.0,0.0,0.282,0.0,93.8,4.69,3.197,0
2019-01-18,7894900014211,0,34.0,0.0,0.0,0.0,159.46,4.69,3.197,0
2019-01-19,7894900014211,0,38.0,0.0,0.71,0.0,178.22,4.69,3.197,0
2019-01-20,7894900014211,0,27.0,0.0,0.485,0.0,126.63,4.69,3.197,0
2019-01-21,7894900014211,0,13.0,0.0,0.427,0.0,60.97,4.69,3.197,0
2019-01-22,7894900014211,0,7.0,0.0,0.64,0.0,32.83,4.69,3.197,0
2019-01-23,7894900014211,0,24.0,0.0,0.119,0.0,112.56,4.69,3.197,0
2019-01-24,7894900014211,0,15.0,0.0,0.16,0.0,70.35,4.69,3.197,0
2019-01-25,7894900014211,0,45.0,0.0,0.296,0.0,211.05,4.69,3.104,0
2019-01-26,7894900014211,0,46.0,0.0,0.056,0.0,215.74,4.69,3.104,0
2019-01-27,7894900014211,0,29.0,0.0,0.339,0.0,136.01,4.69,3.104,0
2019-01-28,7894900014211,0,15.0,0.0,0.148,0.0,70.35,4.69,3.104,0
2019-01-29,7894900014211,0,14.0,0.0,0.534,0.0,65.66,4.69,3.104,0
2019-01-30,7894900014211,0,25.0,0.0,0.23,0.0,117.25,4.69,3.104,0
2019-01-31,7894900014211,0,18.0,0.0,0.148,0.0,84.42,4.69,3.104,0
2019-02-01,7894900014211,0,38.0,0.0,0.565,0.0,178.22,4.69,3.104,0
2019-02-02,7894900014211,0,71.0,0.0,0.278,0.0,332.99,4.69,3.197,0
2019-02-03,7894900014211,0,87.0,0.0,0.407,0.0,408.03,4.69,3.197,0
2019-02-04,7894900014211,0,14.0,0.0,0.72,0.0,65.66,4.69,3.197,0
2019-02-05,7894900014211,0,33.0,0.0,0.217,0.0,154.77,4.69,3.197,0
2019-02-06,7894900014211,0,11.0,0.0,0.72,0.0,51.59,4.69,3.197,0
2019-02-07,7894900014211,0,36.0,0.0,0.128,0.0,168.84,4.69,3.197,0
2019-02-08,7894900014211,0,45.0,0.0,0.465,0.0,211.05,4.69,3.197,0
2019-02-09,7894900014211,0,65.0,0.0,0.495,0.0,304.85,4.69,3.197,0
2019-02-10,7894900014211,0,20.0,0.0,0.101,0.0,93.8,4.69,3.197,0
2019-02-11,7894900014211,0,15.0,0.0,0.524,0.0,70.35,4.69,3.197,0
2019-02-12,7894900014211,0,18.0,0.0,0.279,0.0,84.42,4.69,3.197,0
2019-02-13,7894900014211,0,29.0,0.0,0.597,0.0,136.01,4.69,3.197,0
2019-02-14,7894900014211,0,11.0,0.0,0.652,0.0,51.59,4.69,3.197,0
2019-02-15,7894900014211,0,30.0,0.0,0.509,0.0,140.7,4.69,3.197,0
2019-02-16,7894900014211,0,51.0,0.0,0.335,0.0,239.19,4.69,3.197,0
2019-02-17,7894900014211,0,22.0,0.0,0.249,0.0,103.18,4.69,3.197,0
2019-02-18,7894900014211,0,6.0,0.0,0.384,0.0,28.14,4.69,3.197,0
2019-02-19,7894900014211,0,17.0,0.0,0.0,0.0,79.73,4.69,3.197,0
2019-02-20,7894900014211,0,8.0,0.0,0.0,0.0,37.52,4.69,3.197,0
2019-02-21,7894900014211,0,15.0,0.0,0.304,0.0,70.35,4.69,3.197,0
2019-02-22,7894900014211,0,35.0,0.0,0.4,0.0,164.15,4.69,3.197,0
2019-02-23,7894900014211,0,48.0,0.0,0.049,0.0,225.12,4.69,3.197,0
2019-02-24,7894900014211,0,16.0,0.0,0.0,0.0,75.04,4.69,3.197,0
2019-02-25,7894900014211,0,21.0,0.0,0.12,0.0,98.49,4.69,3.197,0
2019-02-26,7894900014211,0,11.0,0.0,0.192,0.0,51.59,4.69,3.197,0
2019-02-27,7894900014211,0,18.0,0.0,0.0,0.0,84.42,4.69,3.197,0
2019-02-28,7894900014211,0,22.0,0.0,0.226,0.0,103.18,4.69,3.197,0
2019-03-01,7894900014211,0,54.0,0.0,0.16,0.0,253.26,4.69,3.104,0
2019-03-02,7894900014211,0,75.0,0.0,0.519,0.0,351.75,4.69,3.104,0
2019-03-03,7894900014211,0,37.0,0.0,0.666,0.0,173.53,4.69,3.104,0
2019-03-04,7894900014211,0,44.0,0.0,0.286,0.0,206.36,4.69,3.104,0
2019-03-05,7894900014211,0,0.0,0.0,0.0,0.0,0.0,4.69,3.104,0
2019-03-06,7894900014211,0,17.0,0.0,0.169,0.0,79.73,4.69,3.104,0
2019-03-07,7894900014211,0,28.0,0.0,0.262,0.0,131.32,4.69,3.197,0
2019-03-08,7894900014211,0,33.0,0.0,0.443,0.0,154.77,4.69,3.197,0
2019-03-09,7894900014211,0,103.0,0.0,0.432,0.0,483.07,4.69,3.197,0
2019-03-10,7894900014211,0,17.0,0.0,0.359,0.0,79.73,4.69,3.197,0
2019-03-11,7894900014211,0,14.0,0.0,0.734,0.0,65.66,4.69,3.197,0
2019-03-12,7894900014211,0,5.0,0.0,0.384,0.0,23.45,4.69,3.197,0
2019-03-13,7894900014211,0,15.0,0.0,0.145,0.0,70.35,4.69,3.197,0
2019-03-14,7894900014211,0,16.0,0.0,0.295,0.0,75.04,4.69,3.197,0
2019-03-15,7894900014211,0,47.0,0.0,0.358,0.0,220.43,4.69,3.197,0
2019-03-16,7894900014211,0,70.0,0.0,0.297,0.0,328.3,4.69,3.197,0
2019-03-17,7894900014211,0,21.0,0.0,0.256,0.0,98.49,4.69,3.197,0
