Date,Barcode,OnPromotion,Quantity,ReturnedQuantity,Discount,Increase,TotalValue,UnitValue,CostValue,Holiday
2019-01-02,7891021006125,0,17.0,0.0,0.946,0.0,169.15,9.95,8.66,0
2019-01-03,7891021006125,0,30.0,0.0,0.884,0.0,298.5,9.95,8.66,0
2019-01-04,7891021006125,0,33.0,0.0,0.624,0.0,328.35,9.95,8.66,0
2019-01-05,7891021006125,0,33.0,0.0,0.666,0.0,328.35,9.95,8.66,0
2019-01-06,7891021006125,0,13.0,0.0,0.464,0.0,129.35,9.95,8.66,0
2019-01-07,7891021006125,0,40.0,0.0,0.541,0.0,398.0,9.95,8.66,0
2019-01-08,7891021006125,0,33.0,0.0,0.454,0.0,328.35,9.95,8.66,0
2019-01-09,7891021006125,0,18.0,0.0,0.371,0.0,179.1,9.95,8.66,0
2019-01-10,7891021006125,1,45.0,0.0,0.744,0.0,398.25,8.85,8.66,0
2019-01-11,7891021006125,1,50.0,0.0,0.548,0.0,442.5,8.85,8.66,0
2019-01-12,7891021006125,1,69.0,0.0,0.425,0.0,610.65,8.85,8.66,0
2019-01-13,7891021006125,1,18.0,0.0,1.142,0.0,156.06,8.67,8.66,0
2019-01-14,7891021006125,1,49.0,0.0,0.521,0.0,433.65,8.85,8.66,0
2019-01-15,7891021006125,1,48.0,0.0,0.521,0.0,424.8,8.85,8.66,0
2019-01-16,7891021006125,0,30.0,0.0,0.265,0.0,298.5,9.95,8.66,0
2019-01-17,7891021006125,0,31.0,0.0,0.574,0.0,308.45,9.95,8.66,0
2019-01-18,7891021006125,0,35.0,0.0,0.628,0.0,348.25,9.95,8.66,0
2019-01-19,7891021006125,0,18.0,0.0,0.67,0.0,179.1,9.95,8.66,0
2019-01-20,7891021006125,0,7.0,0.0,1.149,0.0,68.25,9.75,8.66,0
2019-01-21,7891021006125,0,20.0,0.0,0.355,0.0,199.0,9.95,8.66,0
2019-01-22,7891021006125,0,18.0,0.0,0.268,0.0,179.1,9.95,8.66,0
2019-01-23,7891021006125,0,15.0,0.0,0.67,0.0,149.25,9.95,8.66,0
2019-01-24,7891021006125,0,21.0,0.0,0.628,0.0,208.95,9.95,8.66,0
2019-01-25,7891021006125,0,38.0,0.0,0.464,0.0,378.1,9.95,8.66,0
2019-01-26,7891021006125,0,27.0,0.0,0.696,0.0,268.65,9.95,8.66,0
2019-01-27,7891021006125,0,8.0,0.0,0.754,0.0,79.6,9.95,8.66,0
2019-01-28,7891021006125,0,30.0,0.0,0.822,0.0,298.5,9.95,8.66,0
2019-01-29,7891021006125,0,13.0,0.0,0.723,0.0,128.96,9.92,8.66,0
2019-01-30,7891021006125,0,37.0,0.0,0.901,0.0,368.15,9.95,8.66,0
2019-01-31,7891021006125,0,29.0,0.0,0.914,0.0,288.55,9.95,8.66,0
2019-02-01,7891021006125,0,51.0,0.0,0.706,0.0,507.45,9.95,8.66,0
2019-02-02,7891021006125,0,78.0,0.0,0.54,0.0,776.1,9.95,8.66,0
2019-02-03,7891021006125,0,9.0,0.0,0.223,0.0,89.55,9.95,8.66,0
2019-02-04,7891021006125,0,44.0,0.0,0.591,0.0,437.8,9.95,8.66,0
2019-02-05,7891021006125,0,41.0,0.0,0.713,0.0,407.95,9.95,8.66,0
2019-02-06,7891021006125,0,67.0,0.0,0.353,0.0,666.65,9.95,8.66,0
2019-02-07,7891021006125,1,71.0,0.0,0.601,0.0,628.35,8.85,8.66,0
2019-02-08,7891021006125,1,104.0,0.0,0.856,0.0,920.4,8.85,8.66,0
2019-02-09,7891021006125,1,134.0,0.0,0.441,0.0,1185.9,8.85,8.66,0
2019-02-10,7891021006125,1,14.0,0.0,0.435,0.0,123.9,8.85,8.66,0
2019-02-11,7891021006125,1,64.0,0.0,0.564,0.0,566.4,8.85,8.66,0
2019-02-12,7891021006125,1,40.0,0.0,0.159,0.0,354.0,8.85,8.66,0
2019-02-13,7891021006125,0,24.0,0.0,0.383,0.0,238.8,9.95,8.66,0
2019-02-14,7891021006125,0,21.0,0.0,0.236,0.0,208.95,9.95,8.66,0
2019-02-15,7891021006125,0,37.0,0.0,0.691,0.0,368.15,9.95,8.66,0
2019-02-16,7891021006125,0,46.0,0.0,0.882,0.0,457.7,9.95,8.66,0
2019-02-17,7891021006125,0,15.0,0.0,0.536,0.0,149.25,9.95,8.66,0
2019-02-18,7891021006125,0,33.0,0.0,0.208,0.0,328.35,9.95,8.66,0
2019-02-19,7891021006125,0,26.0,0.0,0.804,0.0,258.7,9.95,8.66,0
2019-02-20,7891021006125,0,41.0,0.0,0.324,0.0,407.95,9.95,8.405,0
2019-02-21,7891021006125,0,27.0,0.0,0.294,0.0,268.65,9.95,8.405,0
2019-02-22,7891021006125,0,19.0,0.0,0.741,0.0,189.05,9.95,8.405,0
2019-02-23,7891021006125,0,34.0,0.0,0.248,0.0,338.3,9.95,8.405,0
2019-02-24,7891021006125,0,17.0,0.0,0.0,0.0,169.15,9.95,8.405,0
2019-02-25,7891021006125,0,26.0,0.0,0.0,0.0,258.7,9.95,8.405,0
2019-02-26,7891021006125,0,29.0,0.0,0.402,0.0,288.55,9.95,8.405,0
2019-02-27,7891021006125,0,30.0,0.0,0.548,0.0,298.5,9.95,8.405,0
2019-02-28,7891021006125,0,27.0,0.0,0.322,0.0,268.65,9.95,8.405,0
2019-03-01,7891021006125,0,52.0,0.0,0.882,0.0,517.4,9.95,8.405,0
2019-03-02,7891021006125,0,59.0,0.0,0.596,0.0,587.05,9.95,8.405,0
2019-03-03,7891021006125,0,14.0,0.0,1.507,0.0,136.5,9.75,8.405,0
