Date,Barcode,OnPromotion,Quantity,ReturnedQuantity,Discount,Increase,TotalValue,UnitValue,CostValue,Holiday
2019-01-02,7894900015119,0,27.0,0.0,0.0,0.0,80.73,2.99,1.982,0
2019-01-03,7894900015119,0,19.0,0.0,0.309,0.0,56.81,2.99,1.982,0
2019-01-04,7894900015119,0,50.0,0.0,0.175,0.0,149.5,2.99,1.982,0
2019-01-05,7894900015119,0,63.0,0.0,0.335,0.0,188.37,2.99,1.982,0
2019-01-06,7894900015119,0,20.0,0.0,0.67,0.0,59.8,2.99,1.982,0
2019-01-07,7894900015119,0,6.0,0.0,0.0,0.0,17.94,2.99,1.982,0
2019-01-08,7894900015119,0,25.0,0.0,0.161,0.0,74.75,2.99,1.982,0
2019-01-09,7894900015119,0,23.0,0.0,0.287,0.0,68.77,2.99,1.982,0
2019-01-10,7894900015119,0,5.0,0.0,0.0,0.0,14.95,2.99,1.982,0
2019-01-11,7894900015119,0,37.0,0.0,0.431,0.0,110.63,2.99,1.982,0
2019-01-12,7894900015119,0,65.0,0.0,0.315,0.0,194.35,2.99,1.982,0
2019-01-13,7894900015119,0,9.0,0.0,0.287,0.0,26.91,2.99,1.982,0
2019-01-14,7894900015119,0,10.0,0.0,0.0,0.0,29.9,2.99,1.982,0
2019-01-15,7894900015119,0,20.0,0.0,0.0,0.0,59.8,2.99,1.982,0
2019-01-16,7894900015119,0,16.0,0.0,0.861,0.0,47.84,2.99,1.982,0
2019-01-17,7894900015119,0,41.0,0.0,0.201,0.0,122.59,2.99,1.982,0
2019-01-18,7894900015119,0,57.0,0.0,0.112,0.0,170.43,2.99,1.982,0
2019-01-19,7894900015119,0,45.0,0.0,0.161,0.0,134.55,2.99,1.982,0
2019-01-20,7894900015119,0,14.0,0.0,0.335,0.0,41.86,2.99,1.982,0
2019-01-21,7894900015119,0,17.0,0.0,0.731,0.0,50.83,2.99,1.982,0
2019-01-22,7894900015119,0,30.0,0.0,0.0,0.0,89.7,2.99,1.982,0
2019-01-23,7894900015119,0,51.0,0.0,0.402,0.0,152.49,2.99,1.982,0
2019-01-24,7894900015119,0,16.0,0.0,0.287,0.0,47.84,2.99,1.982,0
2019-01-25,7894900015119,0,41.0,0.0,0.302,0.0,122.59,2.99,1.982,0
2019-01-26,7894900015119,0,42.0,0.0,0.241,0.0,125.58,2.99,1.982,0
2019-01-27,7894900015119,0,33.0,0.0,0.251,0.0,98.67,2.99,1.982,0
2019-01-28,7894900015119,0,9.0,0.0,0.287,0.0,26.91,2.99,1.982,0
2019-01-29,7894900015119,0,23.0,0.0,0.074,0.0,68.77,2.99,1.982,0
2019-01-30,7894900015119,0,28.0,0.0,0.402,0.0,83.72,2.99,1.982,0
2019-01-31,7894900015119,0,29.0,0.0,0.502,0.0,86.71,2.99,1.982,0
2019-02-01,7894900015119,0,64.0,0.0,0.274,0.0,191.36,2.99,1.982,0
2019-02-02,7894900015119,0,100.0,0.0,0.361,0.0,299.0,2.99,1.982,0
2019-02-03,7894900015119,0,18.0,0.0,0.67,0.0,53.82,2.99,1.982,0
